characterID,name
1009220,Captain America
1010740,Winter Soldier
1009471,Nick Fury
1009552,S.H.I.E.L.D.
1009228,Sharon Carter
1011109,X-Men (Ultimate)
1010808,Hawkeye (Kate Bishop)
1009515,Punisher
1009252,Crossbones
1009535,Red Skull
1010899,Spitfire
1011010,Spider-Man (Ultimate)
1009175,Beast
1009243,Colossus
1009257,Cyclops
1009310,Emma Frost
1009508,Kitty Pryde
1009718,Wolverine
1009726,X-Men
1009359,Hydra
1009454,Morbius
1009610,Spider-Man
1009368,Iron Man
1010898,Sin
1010676,Colleen Wing
1010682,Misty Knight
1009367,Iron Fist (Danny Rand)
1009268,Deadpool
1009270,Deathbird
1009313,Gambit
1009363,Imperial Guard
1009546,Rogue
1010338,Captain Marvel (Carol Danvers)
1009378,Jessica Jones
1009215,Luke Cage
1011197,Scarlet Spider (Ben Reilly)
1011426,Scarlet Spider (Kaine)
1009277,Domino
1009393,Lady Deathstrike
1009482,Omega Red
1009554,Sabretooth
1009705,Warpath
1009709,Weapon X
1009283,Dragon Man
1009299,Fantastic Four
1009312,Galactus
1009365,Inhumans
1009592,Silver Surfer
1009599,Skrulls
1009168,Banshee
1009267,Dazzler
1009337,Havok
1017577,Ms. Marvel (Kamala Khan)
1010860,Squirrel Girl
1009351,Hulk
1009560,Sasquatch (Walter Langkowski)
1017438,Araña
1010805,Machine Man
1010761,Sleepwalker
1010801,Ant-Man (Scott Lang)
1009505,Proteus
1009512,Psylocke
1009472,Nightcrawler
1009430,Rachel Grey
1009629,Storm
1009733,Charles Xavier
1009327,Jean Grey
1009281,Doctor Doom
1009466,Namor
1009644,T'Challa
1009282,Doctor Strange
1010733,Star-Lord (Peter Quill)
1009241,Cloak
1009258,Dagger
1011385,Cypher
1009262,Daredevil
1009664,Thor
1009625,Stepford Cuckoos
1009722,X-23
1010354,Adam Warlock
1009407,Loki
1009652,Thanos
1009356,Human Torch
1009662,Thing
1009381,Jubilee
1010787,Eddie Brock
1009404,Lizard
1009609,Spider-Girl (May Parker)
1009571,Sentry (Robert Reynolds)
1009204,Bloodstorm
