comicID,characterID
16232,1009220
16232,1010740
16248,1009220
16248,1009471
16248,1009552
16248,1009228
21486,1011109
58634,1010808
58634,1009515
16241,1009220
16241,1009252
16241,1009535
16241,1010899
21479,1011109
21468,1011010
15808,1011010
17486,1009175
17486,1009243
17486,1009257
17486,1009310
17486,1009508
17486,1009718
17486,1009726
16234,1009220
16234,1009535
16234,1010740
21461,1011010
10511,1009359
10511,1009454
10511,1009610
21481,1011109
21470,1011010
27238,1009368
27238,1009718
16236,1009220
16236,1009252
16236,1009228
16236,1010898
21474,1011109
21463,1011010
71251,1010676
71251,1010682
71267,1009367
69098,1009268
69098,1009270
69098,1009313
69098,1009363
69098,1009546
62124,1010338
69097,1009268
69097,1009313
69097,1009546
69097,1009726
68868,1009378
68868,1009215
67842,1011197
67842,1011426
70092,1009277
70092,1009393
70092,1009482
70092,1009554
70092,1009705
70092,1009709
70269,1009283
70269,1009299
70269,1009312
70269,1009365
70269,1009592
70269,1009599
68147,1009268
71379,1009508
67717,1009168
67717,1009175
67717,1009243
67717,1009267
67717,1009337
67717,1009705
67717,1009726
70259,1009726
69019,1017577
69019,1010860
67135,1009351
67135,1009560
67950,1017438
67950,1010338
67950,1010805
67950,1009599
67950,1010761
67703,1010801
67725,1009505
67725,1009512
67725,1009726
70236,1009508
70236,1009472
70236,1009430
70236,1009629
70236,1009726
70224,1009733
70224,1009327
70224,1009726
69381,1009281
69381,1009466
69381,1009644
69381,1010740
67145,1009282
67145,1010733
68000,1009241
68000,1009258
68252,1009365
68608,1011385
68608,1009262
68608,1010682
68957,1009664
67919,1009220
68111,1009262
70158,1009625
70158,1009722
67349,1010354
67349,1009282
67349,1009407
67349,1009652
60892,1009726
42257,1009552
68148,1009268
67173,1009356
67173,1009662
69433,1009599
69096,1009313
69096,1009546
69096,1009726
69853,1009368
69853,1009515
68600,1009277
68600,1009381
68600,1009508
68600,1009718
70051,1010787
67633,1009404
67633,1009610
69467,1009609
70208,1009726
68094,1009262
70196,1009726
69343,1009571
70219,1009204
70219,1009310
70219,1009417
70219,1009726
67593,1013483
67593,1009629
67593,1009726
69435,1009599
69079,1017583
69079,1017583
69435,1009599
73710,1017577
73710,1009718
68936,1009356
70235,1009243
70235,1009508
70235,1009472
70235,1009430
70235,1009629
70235,1009726
69925,1009407
69925,1009664
70943,1009299
70943,1009332
70945,1009299
69491,1009268
69491,1009610
67210,1009297
69497,1009268
69497,1009610
68787,1009399
68747,1009378
67762,1009165
67762,1010813
67762,1009407
69730,1010338
69959,1009368
69959,1009376
68656,1010354
68656,1009189
68656,1009282
68656,1011299
68656,1011490
67907,1009214
67907,1009257
67907,1009265
69111,1017577
70944,1009282
70944,1009299
69419,1010747
68592,1011001
68592,1009393
68592,1009554
69036,1009406
69036,1017577
69036,1009610
67134,1009351
73623,1009241
73623,1009258
69221,1009338
70248,1009478
70248,1009313
70248,1009327
70248,1009466
70248,1009472
70248,1009629
70248,1009722
70248,1009726
69279,1009610
69462,1009351
69462,1011223
73709,1017577
73709,1009718
67982,1011227
67982,1017577
67982,1017078
67982,1016181
69114,1017577
68584,1009368
68584,1009378
68584,1009215
68584,1009447
68584,1009610
67622,1009722
70149,1010359
70218,1009310
70218,1009417
70218,1009726
69374,1009524
69374,1009562
68331,1009274
68331,1009277
68331,1009577
67942,1009220
67538,1009212
68358,1009197
68358,1009294
68358,1010704
68358,1009471
69214,1009312
69214,1010763
68960,1009220
70155,1009722
69937,1009407
69937,1009480
69937,1009664
68267,1009268
68100,1009262
