student,year,school
1,1933,1
2,1936,1
3,1939,1
4,1941,1
5,1942,1
6,1945,1
7,1948,1
8,1948,1
9,1949,1
10,1949,1
11,1949,1
12,1950,1
13,1950,1
14,1950,1
15,1951,1
16,1951,1
17,1951,1
18,1951,1
19,1952,1
20,1952,1
21,1952,1
22,1952,1
23,1952,1
24,1952,1
25,1952,1
26,1953,1
27,1953,1
28,1953,1
29,1954,1
30,1954,1
31,1954,1
32,1955,1
33,1955,1
34,1955,1
35,1955,1
36,1957,1
37,1958,1
38,1958,1
39,1958,1
40,1958,1
41,1958,1
42,1958,1
43,1959,1
44,1959,1
45,1959,1
46,1959,1
47,1959,1
48,1960,1
49,1960,1
50,1960,1
51,1960,1
52,1961,1
53,1961,1
54,1962,1
55,1962,1
56,1962,1
57,1962,1
58,1962,1
59,1993,2
60,1962,1
61,1962,1
62,1962,1
63,1962,1
64,1962,1
65,1963,1
66,1963,1
67,1963,1
68,1963,1
69,1963,1
70,1963,1
71,1963,1
72,1963,1
73,1963,1
74,1964,1
75,1964,1
76,1964,1
77,1964,1
78,1964,1
79,1964,1
80,1964,1
81,1965,1
82,1965,1
83,1965,1
84,1965,1
85,1965,1
86,1965,1
87,1966,1
88,1966,1
89,1966,1
90,1966,1
91,1966,1
92,1966,1
93,1966,1
94,1966,1
95,1966,1
96,1967,1
97,1967,1
98,1967,1
99,1967,1
100,1967,1
101,1967,1
102,1968,1
103,1968,1
104,1968,1
105,1968,1
106,1968,1
107,1968,1
108,1968,1
109,1968,1
110,1968,1
111,1968,1
112,1969,1
113,1969,1
114,1969,1
115,1969,1
116,1969,1
117,1969,1
118,1969,1
119,1969,1
120,1969,1
121,1969,1
122,1969,1
123,1970,1
124,1970,1
125,1949,3
126,1970,1
127,1970,1
128,1970,1
129,1971,1
130,1971,1
131,1971,1
132,1971,1
133,1971,1
134,1971,1
135,1972,1
136,1972,1
137,1972,1
138,1972,1
139,1972,1
140,1972,1
141,1972,1
142,1973,1
143,1973,1
144,1973,1
145,1974,1
146,1974,1
147,1975,1
148,1975,1
149,1975,1
150,1976,1
151,1977,1
152,1977,1
153,1978,1
154,1978,1
155,1978,1
156,1980,1
157,1980,1
158,1980,1
159,1981,1
160,1981,1
161,1982,1
162,1982,1
163,1983,1
164,1984,1
165,1984,1
166,1984,1
167,1984,1
168,1984,1
169,1984,1
170,1985,1
171,1985,1
172,1986,1
173,1986,1
174,1986,1
175,1986,1
176,1986,1
177,1987,1
178,1987,1
179,1987,1
180,1987,1
181,1988,1
182,1988,1
183,1988,1
184,1988,1
185,1988,1
186,1988,1
187,1988,1
188,1988,1
189,1989,1
190,1989,1
191,1989,1
192,1989,1
193,1989,1
194,1989,1
195,1989,1
196,1990,1
197,1990,1
198,1990,1
199,1990,1
200,1991,1
201,1991,1
202,1991,1
203,1991,1
204,1991,1
205,1991,1
207,1992,1
208,1992,1
209,1992,1
210,1992,1
211,1992,1
212,1993,1
213,1993,1
214,1993,1
215,1993,1
216,1993,1
217,1993,1
218,1993,1
219,1993,1
220,1993,1
221,1993,1
222,1993,1
223,1993,1
224,1994,1
225,1994,1
226,1994,1
227,1994,1
228,1995,1
229,1995,1
230,1995,1
231,1996,1
232,1996,1
233,1964,4
234,1922,5
235,1996,1
236,1996,1
237,1956,6
239,1930,7
240,1967,8
241,1981,9
244,1962,10
245,1972,11
246,1948,12
248,1963,13
249,1965,14
250,1979,15
251,1988,7
252,1987,16
254,1962,17
255,1965,18
256,1968,19
257,2003,20
258,1925,21
259,1959,9
260,1968,22
261,1977,23
262,1985,24
263,1961,25
264,1980,26
265,1969,27
266,1970,28
267,1972,22
268,1948,29
269,1964,7
270,1970,30
273,1973,22
274,1970,9
275,1953,31
276,1953,7
277,1950,27
278,1980,32
279,1975,33
280,1952,34
281,1929,35
282,1908,36
284,1951,29
285,1953,16
286,1905,21
287,1916,37
288,1918,37
289,1922,37
290,1925,37
291,1923,10
292,1925,10
293,1927,10
294,1929,10
295,1930,10
296,1930,10
297,1932,10
298,1932,10
299,1933,10
300,1935,10
301,1941,10
302,1941,10
303,1941,10
304,1942,10
305,1945,10
306,1947,10
307,1948,10
308,1949,10
309,1951,10
310,1952,10
311,1952,10
312,1952,10
313,1953,10
314,1955,10
315,1955,10
316,1956,10
317,1957,10
318,1958,10
319,1958,10
320,1959,10
321,1961,10
322,1962,10
324,1965,10
325,1965,10
326,1965,10
327,1966,10
328,1966,10
329,1966,10
330,1967,10
331,1967,10
332,1967,10
333,1968,10
333,1985,38
334,1968,10
335,1969,10
336,1969,10
337,1969,10
338,1952,39
339,1953,39
340,1953,39
341,1953,39
342,1927,37
343,1927,37
344,1969,19
345,,22
346,1976,22
347,1995,2
348,1953,39
349,1958,39
350,1959,39
351,1963,39
352,,40
353,1970,41
354,1928,37
355,1929,37
356,1928,37
357,1932,37
358,1934,37
359,1933,37
360,1937,37
361,1949,42
362,1952,42
363,1946,37
364,1962,42
365,1964,42
366,1965,42
367,1966,42
368,1968,42
369,1954,37
370,1964,43
371,1971,44
372,1972,44
375,,45
376,,4
377,,1
378,1998,19
379,,46
380,1978,19
381,2002,46
382,,47
383,1963,48
384,1963,48
385,1971,49
386,1963,48
387,1964,48
388,1968,50
389,1969,50
390,2003,1
391,,51
392,1962,52
393,1967,52
394,1999,53
395,1965,37
396,1982,54
397,,4
398,1960,55
399,1963,55
400,1965,55
401,1966,55
402,1968,55
403,1996,2
404,,56
405,1958,32
406,1967,4
407,1968,4
408,1969,4
409,1970,4
410,1970,4
411,1970,4
412,1969,57
413,2002,1
414,2002,47
416,1932,58
417,1933,58
418,1933,58
419,1934,58
420,1935,58
421,1938,59
422,1950,60
423,1951,60
424,1953,60
425,1956,60
426,1956,60
427,1939,59
428,1948,37
429,1951,37
430,1951,61
431,1951,61
432,1969,62
433,1968,62
434,1969,62
435,1952,61
436,1964,63
437,1953,61
438,1969,64
439,1953,61
440,1953,61
442,1968,23
443,1971,23
444,1958,65
445,1963,55
446,1967,66
447,1968,66
448,1969,66
449,1963,55
450,1966,67
451,1963,65
452,1959,68
453,1967,43
454,1971,65
455,1968,43
456,1971,44
457,1971,44
458,1965,65
459,1972,44
460,1966,65
461,1973,16
462,1966,65
463,1969,43
464,1973,16
465,1969,65
466,1969,65
467,1969,65
468,1953,61
469,1962,69
470,1962,69
471,1969,69
472,1969,70
473,1971,70
474,1964,69
475,1967,69
476,1967,69
477,1968,69
478,1969,69
479,1969,69
480,1955,61
481,1967,67
482,1955,61
483,1964,63
484,1966,63
485,1970,64
486,1965,63
487,1966,63
488,1966,63
489,1938,71
490,1970,63
491,1976,72
492,1987,9
493,1940,59
494,1951,9
496,1999,22
497,1956,9
498,1979,45
499,2001,6
500,,7
501,1942,59
502,1944,59
503,1955,24
504,1948,59
505,1948,59
506,1955,55
507,1957,55
508,1965,48
509,1967,48
510,1967,48
511,1957,55
512,1960,55
513,1968,40
514,1970,40
515,1953,59
516,1965,73
517,,74
518,1967,73
519,,74
520,1953,59
521,1969,75
522,1954,59
523,1970,16
524,1970,76
524,1979,21
525,1955,59
526,1956,59
527,1958,59
528,1961,59
529,1968,77
530,1970,77
531,1970,77
532,1964,59
533,1965,59
534,1966,59
535,1966,59
536,1968,59
537,1968,59
538,1940,52
539,1957,42
540,1966,42
541,1969,42
542,1940,52
543,1942,52
544,1952,69
545,1968,24
546,1952,69
547,1953,69
548,1953,69
549,,19
550,,22
551,1957,69
552,1957,69
553,1958,69
554,1959,69
555,1959,69
556,1960,69
557,1963,69
558,1964,69
559,1970,67
560,1966,69
561,1967,69
562,1968,69
563,1968,69
564,1948,52
565,1949,52
566,1949,52
567,1950,52
568,1952,52
569,1955,52
570,1958,52
571,1959,52
572,1959,52
573,1960,52
574,1962,52
575,1969,52
576,1971,52
577,1963,52
578,1963,52
579,1968,78
580,1964,52
581,1965,52
582,1966,52
583,1966,52
584,1967,52
585,1967,52
586,1970,52
587,1970,52
588,1954,79
589,1966,7
590,1966,80
